timestamp, input_file_or_table, output_file_or_table, action_description, performed_by
2026-04-07T17:59:53.744330,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:01:55.066294,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:02:36.500200,SilverLayerData/2019/consignee2019.csv,SilverLayerData/2019/consignee2019.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:03:18.661885,SilverLayerData/2020/consignee2020.csv,SilverLayerData/2020/consignee2020.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:04:06.179687,SilverLayerData/2019/shipper2019.csv,SilverLayerData/2019/shipper2019.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:04:30.093378,SilverLayerData/2020/shipper2020.csv,SilverLayerData/2020/shipper2020.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:31:09.104292+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:33:02.208618+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:33:57.536965+00:00,SilverLayerData/2019/consignee2019.csv,SilverLayerData/2019/consignee2019.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:34:23.053416+00:00,SilverLayerData/2020/consignee2020.csv,SilverLayerData/2020/consignee2020.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:34:54.143593+00:00,SilverLayerData/2019/shipper2019.csv,SilverLayerData/2019/shipper2019.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:35:24.535633+00:00,SilverLayerData/2020/shipper2020.csv,SilverLayerData/2020/shipper2020.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:41:45.647682+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-07T18:45:29.225866+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-07T20:15:29.113183+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-07T20:17:21.062465+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-07T20:23:58.978041+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-07T20:25:50.681660+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-08T00:11:38.385771+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-08T00:13:35.136369+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-08T00:19:49.297700+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-08T00:21:22.413364+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-08T00:29:37.353652+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-08T00:31:20.718914+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-08T00:37:54.609072+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-08T00:39:33.678112+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-08T17:26:55.912130+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/cargoMeasurement2019.csv,"Created cargoMeasurement2019.csv with identifier, manifest_quantity, manifest_unit, and weight columns",Denny Ye
2026-04-08T17:27:14.898687+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/cargoMeasurement2020.csv,"Created cargoMeasurement2020.csv with identifier, manifest_quantity, manifest_unit, and weight columns",Denny Ye
2026-04-08T18:29:52.483021+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/secondaryNotifyParty2019.csv,"Created secondaryNotifyParty2019.csv with identifier, notify_party_sequence, and notify_party_name columns",Denny Ye
2026-04-08T18:30:29.720246+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/secondaryNotifyParty2020.csv,"Created secondaryNotifyParty2020.csv with identifier, notify_party_sequence, and notify_party_name columns",Denny Ye
2026-04-08T18:38:15.108239+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/cargoMeasurement2019.csv,"Created cargoMeasurement2019.csv with identifier, manifest_quantity, manifest_unit, weight, measurement, and measurement_unit columns",Denny Ye
2026-04-08T18:38:39.951676+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/cargoMeasurement2020.csv,"Created cargoMeasurement2020.csv with identifier, manifest_quantity, manifest_unit, weight, measurement, and measurement_unit columns",Denny Ye
2026-04-08T23:04:57.573979+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-08T23:06:32.241196+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-08T23:06:59.230595+00:00,SilverLayerData/2019/consignee2019.csv,SilverLayerData/2019/consignee2019.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-08T23:07:17.760903+00:00,SilverLayerData/2020/consignee2020.csv,SilverLayerData/2020/consignee2020.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-08T23:07:42.224062+00:00,SilverLayerData/2019/shipper2019.csv,SilverLayerData/2019/shipper2019.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-08T23:08:09.393674+00:00,SilverLayerData/2020/shipper2020.csv,SilverLayerData/2020/shipper2020.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-08T23:14:37.230849+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-08T23:17:45.294959+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-09T00:02:16.354094+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-09T00:04:23.508101+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-09T00:13:28.988086+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-09T00:24:19.028400+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-09T00:26:31.787545+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-09T00:34:04.420520+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/cargo_measurement2019.csv,"Created cargo_measurement table with identifier, manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns",Denny Ye
2026-04-09T00:34:37.429363+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/cargo_measurement2020.csv,"Created cargo_measurement table with identifier, manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns",Denny Ye
2026-04-09T00:37:39.585195+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/cargoMeasurement2019.csv,"Created cargo_measurement table with identifier, manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns",Denny Ye
2026-04-09T00:38:00.897473+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/cargoMeasurement2020.csv,"Created cargo_measurement table with identifier, manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns",Denny Ye
2026-04-09T00:45:37.167084+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/secondaryNotifyParty2019.csv,"Created secondary notify party table with identifier, notify_party_sequence, notify_party_name columns",Denny Ye
2026-04-09T00:46:04.758076+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/secondaryNotifyParty2020.csv,"Created secondary notify party table with identifier, notify_party_sequence, notify_party_name columns",Denny Ye
2026-04-09T00:53:26.126165+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,"Dropped manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns from header table as they are now in cargo_measurement table",Denny Ye
2026-04-09T00:55:20.351479+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,"Dropped manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns from header table as they are now in cargo_measurement table",Denny Ye
2026-04-09T01:02:54.023318+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped secondary_notify_party columns from header table,Denny Ye
2026-04-09T01:04:21.795431+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped secondary_notify_party columns from header table,Denny Ye
2026-04-09T01:37:59.019963+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/port2019.csv,Created port table with port_id and port_name columns,Denny Ye
2026-04-09T01:38:18.965901+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/port2020.csv,Created port table with port_id and port_name columns,Denny Ye
2026-04-09T01:56:02.378188+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Added port_id columns to header table based on the port names and port_id in the port table,Denny Ye
2026-04-09T01:58:47.950689+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Added port_id columns to header table based on the port names and port_id in the port table,Denny Ye
2026-04-09T02:09:09.225841+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped port columns from header table,Denny Ye
2026-04-09T02:10:34.702170+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped port columns from header table,Denny Ye
2026-04-09T05:29:27.081563+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/vessel2019.csv,"Created vessel table with vessel_id, vessel_country_code, vessel_name columns",Denny Ye
2026-04-09T05:29:35.836726+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/vessel2020.csv,"Created vessel table with vessel_id, vessel_country_code, vessel_name columns",Denny Ye
2026-04-09T05:38:53.873965+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Added vessel_id to header table by merging with vessel table on vessel_country_code and vessel_name,Denny Ye
2026-04-09T05:40:04.114441+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Added vessel_id to header table by merging with vessel table on vessel_country_code and vessel_name,Denny Ye
2026-04-09T05:43:01.654989+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Deleted vessel_country_code and vessel_name columns from header table as they are now in vessel table and we have vessel_id in header table,Denny Ye
2026-04-09T05:43:56.193187+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Deleted vessel_country_code and vessel_name columns from header table as they are now in vessel table and we have vessel_id in header table,Denny Ye
2026-04-09T13:51:42.454246+00:00,SilverLayerData/2019/shipper2019.csv,SilverLayerData/2019/shipper2019.csv,Deduplicated shipper table based on identifier column,Denny Ye
2026-04-09T13:52:13.177458+00:00,SilverLayerData/2020/shipper2020.csv,SilverLayerData/2020/shipper2020.csv,Deduplicated shipper table based on identifier column,Denny Ye
2026-04-09T14:27:37.408099+00:00,StagingTable/headerShipperStaging2019.csv,SilverLayerData/2019/shipper2019.csv,"Built shipper table from staging table by keeping unique combinations of shipper_party_name, shipper_party_address_1, shipper_party_address_2, shipper_party_address_3 and assigning shipper_id",Denny Ye
2026-04-09T14:28:10.715046+00:00,StagingTable/headerShipperStaging2020.csv,SilverLayerData/2020/shipper2020.csv,"Built shipper table from staging table by keeping unique combinations of shipper_party_name, shipper_party_address_1, shipper_party_address_2, shipper_party_address_3 and assigning shipper_id",Denny Ye
2026-04-09T14:28:16.931597+00:00,StagingTable/headerShipperStaging2019.csv and SilverLayerData/2019/shipper2019.csv,LookupTable/shipperLookup2019.csv,"Created shipper lookup table with identifier and shipper_id columns by merging staging table with shipper table on shipper_party_name, shipper_party_address_1, shipper_party_address_2, shipper_party_address_3 columns",Denny Ye
2026-04-09T14:30:12.539412+00:00,StagingTable/headerShipperStaging2019.csv and SilverLayerData/2019/shipper2019.csv,LookupTable/shipperLookup2019.csv,"Created shipper lookup table with identifier and shipper_id columns by merging staging table with shipper table on shipper_party_name, shipper_party_address_1, shipper_party_address_2, shipper_party_address_3 columns",Denny Ye
2026-04-09T14:31:04.765174+00:00,StagingTable/headerShipperStaging2020.csv and SilverLayerData/2020/shipper2020.csv,LookupTable/shipperLookup2020.csv,"Created shipper lookup table with identifier and shipper_id columns by merging staging table with shipper table on shipper_party_name, shipper_party_address_1, shipper_party_address_2, shipper_party_address_3 columns",Denny Ye
